1600	部署事件	13	22	发起者	[84.44444444444444 156.33333333333334 650.5555555555555 410.22222222222223]
1607	机动事件	0	7	发起者	[364.0406504065041 173.3821138211382 737.2113821138212 616.4715447154472]
1607	机动事件	19	29	发起者	[364.0406504065041 173.3821138211382 737.2113821138212 616.4715447154472]
1607	机动事件	9	12	地点	-1
1610	部署事件	0	13	发起者	[2.202643171806167 101.55066079295155 374.44933920704847 305.0748898678414]
1610	部署事件	16	19	地点	-1
1611	攻击事件	0	10	发起者	[378.88888888888886 105.44444444444446 1003.3333333333333 414.33333333333337]
1611	攻击事件	29	42	承受者	[378.88888888888886 105.44444444444446 1003.3333333333333 414.33333333333337]
1612	攻击事件	0	12	发起者	[185.64814814814812 4.203703703703702 343.5185185185185 277.35185185185185]
1612	攻击事件	28	33	时间	-1
1612	攻击事件	50	56	发起者	[185.64814814814812 4.203703703703702 343.5185185185185 277.35185185185185]
1612	攻击事件	59	70	使用器械	[185.64814814814812 4.203703703703702 343.5185185185185 277.35185185185185]
1612	攻击事件	72	75	地点	-1
1614	机动事件	0	11	时间	-1
1614	机动事件	0	11	时间	-1
1614	机动事件	0	11	时间	-1
1614	机动事件	17	43	发起者	[16.230366492146597 62.13612565445024 649.2146596858638 174.70157068062827]
1614	机动事件	17	43	发起者	[16.230366492146597 62.13612565445024 649.2146596858638 174.70157068062827]
1614	机动事件	17	43	发起者	[16.230366492146597 62.13612565445024 649.2146596858638 174.70157068062827]
1614	机动事件	56	60	地点	-1
1614	机动事件	56	60	地点	-1
1614	机动事件	56	60	地点	-1
1614	机动事件	62	65	地点	-1
1614	机动事件	62	65	地点	-1
1614	机动事件	62	65	地点	-1
1617	部署事件	17	22	地点	-1
1617	部署事件	2	15	发起者	[71.79411764705881 324.1176470588235 583.5588235294117 515.2941176470588]
1619	攻击事件	0	11	发起者	[48.89867841409691 77.41409691629956 549.7797356828194 311.7753303964758]
1619	攻击事件	126	136	承受者	-1
1619	攻击事件	147	151	发起者	[48.89867841409691 77.41409691629956 549.7797356828194 311.7753303964758]
1620	部署事件	0	10	时间	-1
1620	部署事件	0	10	时间	-1
1620	部署事件	0	10	时间	-1
1620	部署事件	21	31	发起者	[4.62962962962963 77.7222222222222 598.6111111111111 240.68518518518516]
1620	部署事件	21	31	发起者	[4.62962962962963 77.7222222222222 598.6111111111111 240.68518518518516]
1620	部署事件	21	31	发起者	[4.62962962962963 77.7222222222222 598.6111111111111 240.68518518518516]
1620	部署事件	34	44	地点	-1
1620	部署事件	34	44	地点	-1
1620	部署事件	34	44	地点	-1
1623	防守事件	3	14	发起者	[113.86138613861387 105.2871287128713 628.2178217821782 234.4950495049505]
1625	攻击事件	14	21	发起者	[80.0 40.59259259259258 774.8148148148148 529.4814814814814]
1625	攻击事件	14	21	发起者	[80.0 40.59259259259258 774.8148148148148 529.4814814814814]
1625	攻击事件	14	21	发起者	[80.0 40.59259259259258 774.8148148148148 529.4814814814814]
1625	攻击事件	29	37	承受者	-1
1625	攻击事件	29	37	承受者	-1
1625	攻击事件	29	37	承受者	-1
1626	机动事件	13	29	发起者	[0.3861003861003861 45.95366795366796 490.73359073359075 298.0772200772201]
1626	机动事件	32	40	地点	-1
1626	机动事件	45	59	地点	-1
1627	保障事件	0	8	发起者	[11.881188118811881 60.66336633663366 608.9108910891089 376.009900990099]
1627	保障事件	114	130	承受者	[11.881188118811881 60.66336633663366 608.9108910891089 376.009900990099]
1629	部署事件	0	9	发起者	[317.81188118811883 52.88118811881188 1190.0891089108911 631.09900990099]
1629	部署事件	0	9	发起者	[317.81188118811883 52.88118811881188 1190.0891089108911 631.09900990099]
1629	部署事件	11	14	地点	-1
1629	部署事件	23	27	地点	-1
1630	侦查事件	36	46	发起者	[24.688279301745638 17.17206982543641 195.01246882793018 89.99002493765586]
1630	侦查事件	65	72	承受者	-1
1630	侦查事件	77	82	发起者	[24.688279301745638 17.17206982543641 195.01246882793018 89.99002493765586]
1631	部署事件	0	8	时间	-1
1631	部署事件	0	8	时间	-1
1631	部署事件	0	8	时间	-1
1631	部署事件	33	41	发起者	[0.9900990099009901 1.1980198019801982 627.2277227722773 421.4950495049505]
1631	部署事件	33	41	发起者	[0.9900990099009901 1.1980198019801982 627.2277227722773 421.4950495049505]
1631	部署事件	33	41	发起者	[0.9900990099009901 1.1980198019801982 627.2277227722773 421.4950495049505]
1631	部署事件	55	60	地点	-1
1631	部署事件	55	60	地点	-1
1631	部署事件	55	60	地点	-1
1632	部署事件	0	5	时间	-1
1632	部署事件	15	19	发起者	[215.0 139.5 1076.6666666666667 623.6666666666667]
1632	部署事件	22	32	地点	-1
1633	侦查事件	0	19	发起者	[152.47524752475246 178.5247524752475 537.6237623762377 293.8712871287129]
1633	侦查事件	0	19	发起者	[152.47524752475246 178.5247524752475 537.6237623762377 293.8712871287129]
1637	攻击事件	3	22	发起者	[49.42084942084942 93.21621621621622 469.8841698841699 192.44401544401546]
1637	攻击事件	3	22	发起者	[49.42084942084942 93.21621621621622 469.8841698841699 192.44401544401546]
1637	攻击事件	3	22	发起者	[49.42084942084942 93.21621621621622 469.8841698841699 192.44401544401546]
1637	攻击事件	39	55	承受者	-1
1637	攻击事件	39	55	承受者	-1
1637	攻击事件	39	55	承受者	-1
1638	攻击事件	104	122	使用器械	-1
1638	攻击事件	127	141	承受者	-1
1638	攻击事件	142	147	承受者	-1
1638	攻击事件	3	11	发起者	[1.8518518518518516 13.432098765432098 798.1481481481482 557.2592592592592]
1638	攻击事件	60	96	发起者	-1
